16:24:38, 00:23:D4:6A:BB:92, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
16:24:38, 00:23:D4:6A:BB:92, 00:23:D4:68:E1:E9, wifi_network, false, fresh
16:24:43, 00:23:D4:6A:BB:92, 00:23:D4:69:79:1C, bluetooth_network, true, fresh
16:24:46, 00:23:D4:6A:BB:92, 00:23:D4:6A:87:DE, bluetooth_network, true, fresh
16:24:59, 00:23:D4:6A:BB:92, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
16:26:19, 00:23:D4:6A:BB:92, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
16:26:20, 00:23:D4:6A:BB:92, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
16:26:24, 00:23:D4:6A:BB:92, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
16:26:24, 00:23:D4:6A:BB:92, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
16:27:14, 00:23:D4:6A:BB:92, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
16:27:14, 00:23:D4:6A:BB:92, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
16:27:15, 00:23:D4:6A:BB:92, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
16:27:16, 00:23:D4:6A:BB:92, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
16:27:21, 00:23:D4:6A:BB:92, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
16:27:21, 00:23:D4:6A:BB:92, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
16:28:11, 00:23:D4:6A:BB:92, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
16:28:11, 00:23:D4:6A:BB:92, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
16:37:26, 00:23:D4:6A:BB:92, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
16:37:26, 00:23:D4:6A:BB:92, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
16:37:29, 00:23:D4:6A:BB:92, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
16:37:29, 00:23:D4:6A:BB:92, 00:23:D4:68:E1:E9, wifi_network, false, fresh
16:37:59, 00:23:D4:6A:BB:92, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
16:37:59, 00:23:D4:6A:BB:92, 00:23:D4:68:E1:E9, wifi_network, false, fresh
16:38:16, 00:23:D4:6A:BB:92, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
16:38:16, 00:23:D4:6A:BB:92, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
16:38:51, 00:23:D4:6A:BB:92, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
16:38:52, 00:23:D4:6A:BB:92, 00:23:D4:68:E1:E9, wifi_network, false, fresh
16:39:08, 00:23:D4:6A:BB:92, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
16:39:08, 00:23:D4:6A:BB:92, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
16:40:48, 00:23:D4:6A:BB:92, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
16:40:48, 00:23:D4:6A:BB:92, 00:23:D4:6A:F5:43, wifi_network, false, fresh
16:40:52, 00:23:D4:6A:BB:92, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
16:40:52, 00:23:D4:6A:BB:92, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
16:40:55, 00:23:D4:6A:BB:92, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
16:40:55, 00:23:D4:6A:BB:92, 00:23:D4:6A:22:09, wifi_network, false, fresh
16:45:59, 00:23:D4:6A:BB:92, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
16:45:59, 00:23:D4:6A:BB:92, 00:23:D4:68:E1:E9, wifi_network, false, fresh
16:46:47, 00:23:D4:6A:BB:92, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
16:46:47, 00:23:D4:6A:BB:92, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
16:46:52, 00:23:D4:6A:BB:92, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
16:46:52, 00:23:D4:6A:BB:92, 00:23:D4:6A:B6:B9, wifi_network, false, fresh
16:47:38, 00:23:D4:6A:BB:92, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
16:47:38, 00:23:D4:6A:BB:92, 00:23:D4:6A:F5:43, wifi_network, false, fresh
16:47:39, 00:23:D4:6A:BB:92, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
16:47:39, 00:23:D4:6A:BB:92, 00:23:D4:6A:F5:43, wifi_network, false, fresh
16:48:19, 00:23:D4:6A:BB:92, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
16:48:20, 00:23:D4:6A:BB:92, 00:23:D4:6A:F5:43, wifi_network, false, fresh
16:48:23, 00:23:D4:6A:BB:92, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
16:48:23, 00:23:D4:6A:BB:92, 00:23:D4:68:E1:E9, wifi_network, false, fresh
16:48:30, 00:23:D4:6A:BB:92, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
16:48:30, 00:23:D4:6A:BB:92, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
16:49:21, 00:23:D4:6A:BB:92, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
16:49:21, 00:23:D4:6A:BB:92, 00:23:D4:6A:F5:43, wifi_network, false, fresh
16:54:31, 00:23:D4:6A:BB:92, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
16:54:31, 00:23:D4:6A:BB:92, 00:23:D4:6A:A4:E2, wifi_network, false, fresh
16:54:36, 00:23:D4:6A:BB:92, 00:23:D4:6A:87:DE, bluetooth_network, true, update
16:55:23, 00:23:D4:6A:BB:92, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
16:55:23, 00:23:D4:6A:BB:92, 00:23:D4:6A:F5:43, wifi_network, false, fresh
16:56:15, 00:23:D4:6A:BB:92, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
16:56:15, 00:23:D4:6A:BB:92, 00:23:D4:6A:F5:43, wifi_network, false, fresh
16:56:50, 00:23:D4:6A:BB:92, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
16:56:50, 00:23:D4:6A:BB:92, 00:23:D4:68:E1:E9, wifi_network, false, fresh
16:57:05, 00:23:D4:6A:BB:92, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
16:57:05, 00:23:D4:6A:BB:92, 00:23:D4:68:E1:E9, wifi_network, false, fresh
16:57:06, 00:23:D4:6A:BB:92, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
16:57:06, 00:23:D4:6A:BB:92, 00:23:D4:6A:F5:43, wifi_network, false, fresh
16:57:31, 00:23:D4:6A:BB:92, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
16:57:31, 00:23:D4:6A:BB:92, 00:23:D4:6A:D1:B8, wifi_network, false, fresh
