21:52:37, 18:00:00, Battery: level = 100, scale = 100, status = 5, health = 2, plugged = 2, voltage = 4202
UConnect Schedule  prime=7
21:52:56, 18:00:18, Battery: level = 100, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4147
22:01:21, 18:08:43, Battery: level = 99, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4093
22:09:50, 18:17:13, Battery: level = 98, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4109
22:10:21, 18:17:43, Battery: level = 97, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4075
22:14:20, 18:21:43, Battery: level = 96, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4058
22:15:50, 18:23:12, Battery: level = 95, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4052
22:16:50, 18:24:12, Battery: level = 94, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4047
22:39:19, 18:46:41, Battery: level = 93, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4065
22:41:19, 18:48:41, Battery: level = 92, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4070
22:55:18, 19:02:40, Battery: level = 91, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4059
22:56:48, 19:04:10, Battery: level = 90, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4034
23:00:47, 19:08:10, Battery: level = 89, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4020
23:02:17, 19:09:40, Battery: level = 88, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4013
23:04:17, 19:11:40, Battery: level = 87, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4011
23:18:46, 19:26:09, Battery: level = 86, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4025
23:31:16, 19:38:38, Battery: level = 85, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4021
23:45:15, 19:52:37, Battery: level = 84, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4013
23:48:45, 19:56:07, Battery: level = 83, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4003
00:05:14, 20:12:36, Battery: level = 82, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3990
00:07:14, 20:14:36, Battery: level = 81, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3994
00:08:44, 20:16:06, Battery: level = 80, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3990
00:29:42, 20:37:05, Battery: level = 79, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3989
00:44:11, 20:51:34, Battery: level = 78, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3988
00:58:11, 21:05:33, Battery: level = 77, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3969
01:09:40, 21:17:02, Battery: level = 76, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3951
01:19:39, 21:27:02, Battery: level = 75, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3966
01:23:39, 21:31:01, Battery: level = 74, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3959
01:27:09, 21:34:31, Battery: level = 73, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3953
01:28:09, 21:35:31, Battery: level = 72, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3952
01:31:39, 21:39:01, Battery: level = 71, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3946
01:32:39, 21:40:01, Battery: level = 70, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3906
01:35:38, 21:43:01, Battery: level = 69, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3883
01:37:08, 21:44:31, Battery: level = 68, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3909
02:29:05, 22:36:28, Battery: level = 67, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3905
02:30:35, 22:37:58, Battery: level = 66, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3901
02:32:35, 22:39:58, Battery: level = 65, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3895
02:47:34, 22:54:57, Battery: level = 64, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3891
03:09:33, 23:16:55, Battery: level = 63, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3881
03:11:33, 23:18:55, Battery: level = 62, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3868
03:14:33, 23:21:55, Battery: level = 61, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3873
03:23:32, 23:30:54, Battery: level = 60, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3865
03:25:02, 23:32:24, Battery: level = 59, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3858
03:26:32, 23:33:54, Battery: level = 58, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3862
04:35:28, 00:42:50, Battery: level = 57, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3836
04:37:28, 00:44:50, Battery: level = 56, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3831
04:38:58, 00:46:20, Battery: level = 55, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3827
04:45:57, 00:53:20, Battery: level = 54, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3817
04:47:27, 00:54:50, Battery: level = 53, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3813
05:09:56, 01:17:18, Battery: level = 52, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3805
05:11:56, 01:19:18, Battery: level = 51, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3804
05:13:26, 01:20:48, Battery: level = 50, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3800
05:24:25, 01:31:47, Battery: level = 49, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3803
05:39:54, 01:47:16, Battery: level = 48, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3798
05:54:23, 02:01:46, Battery: level = 47, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3786
06:02:53, 02:10:15, Battery: level = 46, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3777
06:04:53, 02:12:15, Battery: level = 45, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3784
06:09:52, 02:17:15, Battery: level = 44, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3771
06:11:52, 02:19:15, Battery: level = 43, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3775
06:14:22, 02:21:44, Battery: level = 42, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3752
06:15:52, 02:23:14, Battery: level = 41, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3753
06:17:22, 02:24:44, Battery: level = 40, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3750
06:43:20, 02:50:43, Battery: level = 39, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3772
07:46:17, 03:53:39, Battery: level = 38, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3761
07:47:47, 03:55:09, Battery: level = 37, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3758
07:51:46, 03:59:09, Battery: level = 36, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3752
07:53:46, 04:01:09, Battery: level = 35, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3756
07:55:16, 04:02:39, Battery: level = 34, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3754
08:10:45, 04:18:08, Battery: level = 33, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3740
08:12:45, 04:20:08, Battery: level = 32, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3739
09:02:12, 05:09:35, Battery: level = 31, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3734
09:04:12, 05:11:34, Battery: level = 30, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3735
09:16:42, 05:24:04, Battery: level = 29, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3731
09:26:41, 05:34:03, Battery: level = 28, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3712
09:28:11, 05:35:33, Battery: level = 27, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3704
09:29:41, 05:37:03, Battery: level = 26, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3701
09:31:11, 05:38:33, Battery: level = 25, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3702
09:39:40, 05:47:02, Battery: level = 24, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3719
09:41:10, 05:48:32, Battery: level = 23, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3719
10:02:09, 06:09:31, Battery: level = 22, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3712
10:12:08, 06:19:30, Battery: level = 21, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3699
10:13:38, 06:21:00, Battery: level = 20, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3694
10:15:08, 06:22:30, Battery: level = 19, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3690
10:16:38, 06:24:00, Battery: level = 18, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3694
10:46:53, 06:54:15, Battery: level = 18, scale = 100, status = 2, health = 2, plugged = 1, voltage = 3758
10:47:05, 06:54:27, Battery: level = 18, scale = 100, status = 2, health = 2, plugged = 2, voltage = 3816
